Date,Location,Tournament,Series,Court,Surface,Round,Player0,Player1,Rank0,Rank1,Pts0,Pts1,Comment,B3650,B3651,PS0,PS1,Avg0,Avg1,EloRating0,EloRating1,MatchesPlayed0,MatchesPlayed1,MatchesWon0,MatchesWon1,Injuries0,Injuries1,WinningStreak0,WinningStreak1
2017-01-01,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Thompson J.,Ymer E.,79.0,160.0,689.0,372.0,Completed,1.28,3.5,1.31,3.73,1.29,3.5,1500.0,1500.0,12.0,9.0,25.0,22.22222222222222,0.0,0.0,0.0,0.0
2017-01-02,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Mahut N.,Robert S.,39.0,54.0,1102.0,854.0,Completed,1.5,2.5,1.58,2.52,1.54,2.43,1500.0,1500.0,43.0,32.0,53.48837209302325,43.75,0.0,0.0,0.0,0.0
2017-01-02,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Ferrer D.,Tomic B.,21.0,26.0,1785.0,1465.0,Completed,1.9,1.8,2.1,1.81,2.01,1.77,1500.0,1500.0,55.0,51.0,60.0,54.90196078431373,1.0,1.0,0.0,0.0
2017-01-02,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Edmund K.,Escobedo E.,45.0,141.0,1001.0,443.0,Completed,1.36,3.0,1.42,3.09,1.37,3.01,1500.0,1500.0,37.0,6.0,51.35135135135135,33.33333333333333,1.0,0.0,0.0,0.0
2017-01-02,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Dimitrov G.,Johnson S.,17.0,33.0,2035.0,1320.0,Completed,1.4,2.75,1.41,3.13,1.41,2.85,1500.0,1500.0,65.0,54.0,61.53846153846154,50.0,0.0,0.0,0.0,0.0
2017-01-03,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Donaldson J.,Muller G.,105.0,34.0,570.0,1255.0,Completed,2.62,1.44,2.74,1.51,2.64,1.47,1500.0,1500.0,17.0,56.0,41.17647058823529,58.92857142857143,0.0,0.0,0.0,0.0
2017-01-03,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Groth S.,Herbert P.H.,180.0,78.0,320.0,698.0,Completed,2.25,1.57,2.34,1.66,2.27,1.61,1500.0,1500.0,18.0,14.0,22.22222222222222,35.714285714285715,0.0,0.0,0.0,0.0
2017-01-03,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Pouille L.,Simon G.,15.0,25.0,2156.0,1585.0,Completed,1.8,1.9,1.93,1.95,1.83,1.94,1500.0,1500.0,54.0,55.0,61.111111111111114,54.54545454545454,0.0,0.0,0.0,0.0
2017-01-03,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Troicki V.,Nishioka Y.,29.0,100.0,1385.0,604.0,Completed,1.5,2.5,1.54,2.62,1.49,2.57,1500.0,1500.0,60.0,20.0,55.00000000000001,40.0,0.0,0.0,0.0,0.0
2017-01-03,Brisbane,Brisbane International,ATP250,Outdoor,Hard,1st Round,Schwartzman D.,Querrey S.,52.0,31.0,864.0,1355.0,Completed,2.2,1.61,2.2,1.74,2.18,1.66,1500.0,1500.0,34.0,51.0,50.0,54.90196078431373,0.0,0.0,0.0,0.0
